simulacion_id,pm_reassign,pm_cooperations,pm_take_chance,problems_count,cooperation_prob,completed_tasks,total_tasks,workers_number,resting_rate,collab_rate,pm_risky,workers_friendship,workers_motivation,workers_lazzyness,workers_psolv,time
84,0,0,19,1,0.9367606720280162,50,50,5,0.6304347826086957,0.0,0.020434782608695634,0.8959659883670748,117.05217391304348,0.3458070663888669,46.174759539298805,450
85,0,0,30,2,0.8434546845053794,50,50,5,0.6884615384615386,0.0,0.19990384615384577,0.8959659883670746,117.84615384615384,0.3458070663888669,46.1747595392988,510
86,0,12,79,50,0.0014850687424078426,39,50,5,0.9582,0.002,-0.2892050000000005,0.8959659883670748,124.27539999999999,0.3458070663888669,49.13519936886165,860
87,0,3,25,55,0.0028587001117528926,43,50,5,0.9558,0.0004,-0.23001,0.8959659883670748,124.203,0.3458070663888669,53.977568291292336,1010
88,0,9,28,41,0.008700296848564194,40,50,5,0.96,0.0014000000000000002,-0.25542,0.8959659883670748,124.56339999999999,0.3458070663888669,57.95621187249454,880
89,0,8,38,49,0.012493220119611874,41,50,5,0.957,0.0008,-0.3146400000000001,0.8959659883670748,124.41760000000001,0.3458070663888669,61.13485187752541,1280
90,1,15,43,97,0.01003023750868563,36,50,5,0.893,0.002,-0.25662000000000046,0.8959659883670748,122.7242,0.3458070663888669,67.94730487667982,2190
91,2,28,60,110,0.04019119143523154,43,50,4,0.80875,0.00225,-0.2165800000000004,0.4663855102150082,121.76775,0.2857010699335808,86.5607613864594,3920
92,7,6,24,54,0.39626638570769096,49,50,4,0.45555555555555555,0.005555555555555556,-0.10177777777777777,0.4663855102150082,111.83148148148148,0.2857010699335808,95.21287822965455,1340
93,8,7,25,51,0.42809238276232464,46,50,4,0.3601694915254237,0.006355932203389831,-0.07970338983050848,0.4663855102150082,109.85169491525424,0.2857010699335808,107.51543738177183,1140
94,2,3,33,123,0.5790517195707562,48,50,4,0.4100985221674877,0.0018472906403940886,-0.2841379310344828,0.4663855102150082,111.37807881773399,0.2857010699335808,131.03515618073305,3370
95,0,0,50,122,0.952693759466313,47,50,4,0.3270893371757925,0.0,-0.21706051873198895,0.4663855102150082,108.89553314121038,0.2857010699335808,172.98705234109218,3090
96,0,0,29,1,0.8633635724114738,50,50,4,0.4807692307692308,0.0,0.5016666666666664,0.4663855102150082,116.07692307692308,0.2857010699335808,195.9091385748121,380
97,0,0,14,0,0.3593547454933209,50,50,4,0.5113636363636364,0.0,0.07909090909090909,0.4663855102150082,116.58522727272727,0.2857010699335808,195.9091385748121,430
98,0,0,12,0,0.907515788959306,50,50,4,0.55,0.0,0.021111111111111112,0.4663855102150082,117.03333333333333,0.2857010699335808,195.9091385748121,440
99,0,0,12,0,0.8737139415083159,50,50,4,0.3359375,0.0,0.007499999999999998,0.4663855102150082,112.4609375,0.2857010699335808,195.9091385748121,310
100,0,0,27,1,0.9698846181250815,50,50,4,0.4935897435897436,0.0,0.443333333333333,0.4663855102150082,115.8076923076923,0.2857010699335808,195.9091385748121,380
101,0,0,42,25,0.2511693706082729,49,50,4,0.42378048780487804,0.0,0.13829268292682886,0.46638551021500824,112.1280487804878,0.2857010699335808,210.37129382827374,760
102,0,0,19,33,0.7671432928709004,49,50,4,0.4240506329113924,0.0,-0.01,0.4663855102150081,111.9873417721519,0.2857010699335808,234.79390037957666,780
103,0,0,33,18,0.9066717556010444,49,50,4,0.4603658536585366,0.0,-0.030487804878048787,0.46638551021500824,113.40853658536585,0.2857010699335808,254.57898485207443,800
104,0,0,18,22,0.9526129811300368,49,50,4,0.4243421052631579,0.0,-0.0850657894736842,0.4663855102150082,112.3157894736842,0.2857010699335808,271.3264492436107,720
105,0,0,57,32,0.7370932525506054,49,50,4,0.35526315789473684,0.0,0.36289473684210494,0.4663855102150082,110.15789473684211,0.2857010699335808,289.27413596296776,710
106,0,0,52,53,0.8742923425808861,45,50,4,0.46828358208955223,0.0,0.025335820895521992,0.4663855102150082,112.71268656716418,0.2857010699335808,325.3325633244541,1330
107,0,0,44,43,0.8993354742305467,45,50,4,0.5685975609756098,0.0,-0.16856707317073172,0.46638551021500824,115.84298780487805,0.2857010699335808,374.1104209166718,1410
108,0,0,36,49,0.8959090316344211,44,50,4,0.46564885496183206,0.0,-0.11393129770992366,0.4663855102150082,112.92557251908397,0.2857010699335808,405.40611492915286,1300
109,0,0,29,34,0.9864516336044671,46,50,4,0.4981481481481482,0.0,-0.18525925925925926,0.4663855102150082,114.18148148148148,0.2857010699335808,431.16362836808696,1250
110,0,0,65,45,0.7103106306129333,43,50,4,0.4254032258064516,0.0,0.13435483870967704,0.4663855102150082,111.76209677419355,0.2857010699335808,491.97233810255113,1170
111,0,0,40,2,0.7709038336782149,50,50,4,0.5212765957446809,0.0,0.431914893617021,0.4663855102150082,116.0372340425532,0.2857010699335808,521.3980310355206,460
